Date,Requests generated,CPU usage [%],Memory usage [%]
2013-08-12 19:10:46,2419.0,93.23333333333332,9.133330583572388
2013-08-12 19:15:46,2418.0,93.05,10.066664218902588
2013-08-12 19:20:46,2333.0,89.15,13.333330154418945
2013-08-12 19:25:46,2422.0,90.05,27.99999634424845
2013-08-12 19:30:46,2448.0,93.56666666666666,13.866663773854574
2013-08-12 19:35:46,2420.0,93.25,9.466663599014282
2013-08-12 19:40:46,2406.0,92.75,9.133330583572388
2013-08-12 19:45:46,2278.0,86.78333333333335,14.533329407374065
2013-08-12 19:50:46,2423.0,89.51666666666668,31.19999607404073
2013-08-12 19:55:46,2492.0,95.08333333333334,15.06666382153829
2013-08-12 20:00:46,2446.0,94.25,9.3999977906545
2013-08-12 20:05:46,1487.0,55.41666666666667,16.46666606267293
2013-08-12 20:10:46,88.0,0.7333333333333333,15.39999723434448
2013-08-12 20:15:46,25.0,0.6,2.199997901916504
2013-08-12 20:20:46,17.0,0.65,0.0
2013-08-12 20:25:46,15.0,0.5833333333333334,0.0
2013-08-12 20:30:46,14.0,0.5333333333333333,0.0
2013-08-12 20:35:46,16.0,0.6166666666666667,0.0
2013-08-12 20:40:46,17.0,0.6666666666666667,0.0
2013-08-12 20:45:46,15.0,0.5833333333333334,0.0
2013-08-12 20:50:46,15.0,0.5833333333333334,0.0
2013-08-12 20:55:46,15.0,0.5833333333333334,0.0
2013-08-12 21:00:46,17.0,0.65,0.0
2013-08-12 21:05:46,15.0,0.5833333333333334,0.0
2013-08-12 21:10:46,14.0,0.55,0.0
2013-08-12 21:15:46,14.0,0.55,0.0
2013-08-12 21:20:47,13.0,0.5,0.0
2013-08-12 21:25:47,14.0,0.5666666666666667,0.0
2013-08-12 21:30:47,14.0,0.55,0.0
2013-08-12 21:35:47,13.0,0.5,0.0
2013-08-12 21:40:47,14.0,0.5333333333333333,0.0
2013-08-12 21:45:47,14.0,0.5666666666666667,0.0
2013-08-12 21:50:47,13.0,0.5,0.0
2013-08-12 21:55:47,14.0,0.55,0.0
2013-08-12 22:00:47,14.0,0.55,0.0
2013-08-12 22:05:47,14.0,0.55,0.0
2013-08-12 22:10:47,16.0,0.6166666666666667,0.0
2013-08-12 22:15:47,15.0,0.6,0.0
2013-08-12 22:20:47,13.0,0.5,0.0
2013-08-12 22:25:47,14.0,0.55,0.0
2013-08-12 22:30:47,14.0,0.5666666666666667,0.0
2013-08-12 22:35:47,13.0,0.5166666666666666,0.0
2013-08-12 22:40:47,14.0,0.5666666666666667,0.0
2013-08-12 22:45:47,16.0,0.6333333333333333,0.0
2013-08-12 22:50:47,13.0,0.5,0.0
2013-08-12 22:55:47,16.0,0.6166666666666667,0.0
2013-08-12 23:00:47,15.0,0.5833333333333334,0.0
2013-08-12 23:05:47,14.0,0.5333333333333333,0.0
2013-08-12 23:10:47,15.0,0.6,0.0
2013-08-12 23:15:47,16.0,0.6333333333333333,0.0
2013-08-12 23:20:47,15.0,0.6,0.0
2013-08-12 23:25:47,16.0,0.6333333333333333,0.0
2013-08-12 23:30:47,19.0,0.7166666666666667,0.2666664123535156
2013-08-12 23:35:47,14.0,0.5166666666666666,0.19999980926513672
2013-08-12 23:40:47,14.0,0.55,0.0
2013-08-12 23:45:47,15.0,0.6,0.0
2013-08-12 23:50:47,15.0,0.6,0.0
2013-08-12 23:55:47,14.0,0.5333333333333333,0.0
2013-08-13 00:00:47,14.0,0.5666666666666667,0.0
2013-08-13 00:05:47,15.0,0.6,0.0
2013-08-13 00:10:47,15.0,0.5833333333333334,0.0
2013-08-13 00:15:47,17.0,0.65,0.0
2013-08-13 00:20:47,14.0,0.5666666666666667,0.0
2013-08-13 00:25:47,13.0,0.5,0.0
2013-08-13 00:30:47,15.0,0.6,0.0
2013-08-13 00:35:47,14.0,0.55,0.0
2013-08-13 00:40:47,14.0,0.55,0.0
2013-08-13 00:45:47,16.0,0.6166666666666667,0.0
2013-08-13 00:50:47,26.0,1.0166666666666666,0.0
2013-08-13 00:55:47,15.0,0.6,0.0
