Date,Timestamp [ms],Requests generated,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%]
2013-08-12 23:05:47,1376328947,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-12 23:10:47,1376329247,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-12 23:15:47,1376329547,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-12 23:20:47,1376329847,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-12 23:25:47,1376330147,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-12 23:30:47,1376330447,19,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,178956.8,0.2666664123535156
2013-08-12 23:35:47,1376330747,14,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,134217.6,0.19999980926513672
2013-08-12 23:40:47,1376331047,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-12 23:45:47,1376331347,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-12 23:50:47,1376331647,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-12 23:55:47,1376331947,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 00:00:47,1376332247,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 00:05:47,1376332547,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 00:10:47,1376332847,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 00:15:47,1376333147,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 00:20:47,1376333447,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 00:25:47,1376333747,13,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0
2013-08-13 00:30:47,1376334047,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 00:35:47,1376334347,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 00:40:47,1376334647,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 00:45:47,1376334947,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 00:50:47,1376335247,26,11703.99824,118.99064877333336,1.0166666666666666,67108864.0,0.0,0.0
2013-08-13 00:55:47,1376335547,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 01:00:47,1376335847,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 01:05:47,1376336147,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 01:10:47,1376336447,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 01:15:47,1376336747,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 01:20:47,1376337047,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 01:25:47,1376337347,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 01:30:47,1376337647,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
